_id,Forward_Sortation_Area,Name_of_Dog,Breed,Color,Ward_Number,Ward_Name,Bite_Circumstance,Location_of_Incident,Date_of_Dangerous_Act
50,M4J,ELIE,GERM SHEPHERD,BROWN / BLACK,14,Toronto-Danforth,SEVERE,OWNERS PROPERTY,2019-02-10
51,M5N,TUX,TERRIER MIX,BLACK / WHITE,08,Eglinton-Lawrence,NON SEVERE,PUBLIC PROPERTY,2019-03-15
52,M2N,RILEY,DOBERMAN PINSCH,BLACK / TAN,18,Willowdale,SEVERE,PUBLIC PROPERTY,2019-03-24
53,M3A,BELLA,AMER BULLDOG MIX,BROWN,16,Don Valley East,VERY SEVERE,OTHER PRIVATE PROPERTY,2019-03-31
54,M8Y,TONY,AMER BULLDOG,WHITE / BLACK,03,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,2019-04-01
55,M8V,BARKLEY,BORDER COLLIE / GOLDEN RETR,BLACK / WHITE,03,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,2019-04-22
56,M9P,MILO,YORKSHIRE TERR / POODLE MIN,GOLD,01,Etobicoke North,NON SEVERE,OTHER PRIVATE PROPERTY,2019-04-24
57,M6H,MR. BROWN,BOXER / LABRADOR RETR,BROWN / WHITE,09,Davenport,NON SEVERE,PUBLIC PROPERTY,2019-05-08
58,M4M,BELLA,AUST CATTLE DOG / LABRADOR RETR,GREY / BLACK,14,Toronto-Danforth,SEVERE,OTHER PRIVATE PROPERTY,2019-05-14
59,M2H,RONIN,GERM SHEPHERD,BLACK / RED,17,Don Valley North,NON SEVERE,PUBLIC PROPERTY,2019-05-18
60,M1K,SCOOBY,MASTIFF MIX,BROWN / WHITE,20,Scarborough Southwest,SEVERE,OTHER PRIVATE PROPERTY,2019-06-07
61,M4Y,BO,GERM SHEPHERD,BEIGE / BLACK,13,Toronto Centre,SEVERE,PUBLIC PROPERTY,2019-06-11
62,M1H,ODIE,PARSON RUSS TER,WHITE / BROWN,24,Scarborough-Guildwood,NON SEVERE,OWNERS PROPERTY,2019-06-15
63,M3L,REX,GERM SHEPHERD MIX,BLACK / TAN,06,York Centre,SEVERE,PUBLIC PROPERTY,2019-06-18
64,M1B,CHARLI THASA,GERM SHEPHERD / LABRADOR RETR,BROWN / BLACK,25,Scarborough-Rouge Park,SEVERE,OTHER PRIVATE PROPERTY,2019-06-22
65,M6K,TUCKER,ENG COONHOUND,RED,04,Parkdale-High Park,SEVERE,OWNERS PROPERTY,2019-06-27
66,M5B,CLYDE,AMER BULLDOG / MASTIFF,BR BRINDLE / WHITE,13,Toronto Centre,NON SEVERE,OTHER PRIVATE PROPERTY,2019-07-01
67,M4A,CHARLIE,GERM SHEPHERD,BLACK / TAN,19,Beaches-East York,NON SEVERE,PUBLIC PROPERTY,2019-07-17
68,M1M,CHESTER,BULLMASTIFF,BROWN,20,Scarborough Southwest,SEVERE,OWNERS PROPERTY,2019-07-18
69,M3H,KANE,MASTIFF,FAWN / BLUE,06,York Centre,NON SEVERE,PUBLIC PROPERTY,2019-07-30
70,M1E,ZION,MASTIFF,BROWN,25,Scarborough-Rouge Park,VERY SEVERE,OTHER PRIVATE PROPERTY,2019-08-03
71,M1E,SHATTER,SIBERIAN HUSKY,BLACK / WHITE,25,Scarborough-Rouge Park,VERY SEVERE,OTHER PRIVATE PROPERTY,2019-08-03
72,M3B,JOSIE,COCKER SPAN,BLACK,15,Don Valley West,VERY SEVERE,PUBLIC PROPERTY,2019-09-23
73,M1S,ZHAZHA,GERM SHEPHERD,BLACK / YELLOW,23,Scarborough North,NOT A BITE,OWNERS PROPERTY,2019-10-10
74,M4N,SELA,WEIMARANER,GREY,15,Don Valley West,NON SEVERE,PARK - LEASH REQUIRED AREA,2019-10-21
75,M3C,MYSTIC,AMER BULLDOG / BULLMASTIFF,CHOCOLATE,16,Don Valley East,SEVERE,OTHER PRIVATE PROPERTY,2019-10-22
76,M1J,DIESEL,ROTTWEILER / BOXER,BROWN / WHITE,20,Scarborough Southwest,VERY SEVERE,OWNERS PROPERTY,2019-11-22
77,M2R,BAMBI,AMER BULLDOG,WHITE / BR BRINDLE,18,Willowdale,SEVERE,PUBLIC PROPERTY,2019-11-27
78,M4L,GUARDIAN,ROTTWEILER,BLACK,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2019-12-23
79,M1K,AURORA,BORDER COLLIE MIX,WHITE / BLACK,21,Scarborough Centre,NON SEVERE,OTHER PRIVATE PROPERTY,2020-02-06
80,M2M,BEAR,GERM SHEPHERD MIX,BLACK / TAN,18,Willowdale,SEVERE,PUBLIC PROPERTY,2020-02-21
81,M1E,DESIL,CANE CORSO / ROTTWEILER,BR BRINDLE,24,Scarborough-Guildwood,SEVERE,OTHER PRIVATE PROPERTY,2020-03-04
82,M2N,FLASH,RHOD RIDGEBACK / BOXER,BR BRINDLE,18,Willowdale,NON SEVERE,OTHER PRIVATE PROPERTY,2020-03-12
83,M1M,JAX,AMER BULLDOG,WHITE / BROWN,20,Scarborough Southwest,NON SEVERE,PUBLIC PROPERTY,2020-04-05
84,M1W,KING,DOGO ARGENTINO,WHITE,22,Scarborough-Agincourt,SEVERE,PUBLIC PROPERTY,2020-05-03
85,M8V,XENA,LABRADOR RETR / GERM SHEPHERD,BEIGE,03,Etobicoke-Lakeshore,SEVERE,PARK - LEASH REQUIRED AREA,2020-06-09
86,M4L,HARLEY,BEAGLE,TAN / WHITE,19,Beaches-East York,NON SEVERE,PUBLIC PROPERTY,2020-06-11
87,M1P,NEVAH,BOXER,TAN,21,Scarborough Centre,SEVERE,PUBLIC PROPERTY,2020-06-11
88,M5P,CECIL,FRENCH BULLDOG,BLACK,12,Toronto-St. Paul's,SEVERE,PARK - LEASH REQUIRED AREA,2020-06-14
89,M9R,CHARLIE,AMER BULLDOG / ROTTWEILER,BROWN,01,Etobicoke North,SEVERE,PARK - LEASH REQUIRED AREA,2020-06-18
90,M1T,HENNY,LABRADOR RETR / AMER BULLDOG,BROWN / TAN,22,Scarborough-Agincourt,NON SEVERE,OTHER PRIVATE PROPERTY,2020-06-20
91,M1W,LEXY,BELG MALINOIS,BROWN / BLACK,22,Scarborough-Agincourt,SEVERE,PARK - LEASH REQUIRED AREA,2020-07-20
92,M4C,DEXTOR,BELG MALINOIS,BROWN,19,Beaches-East York,NON SEVERE,OWNERS PROPERTY,2020-07-23
93,M4V,PICASSO,COTON DE TULEAR,WHITE,12,Toronto-St. Paul's,NON SEVERE,OTHER PRIVATE PROPERTY,2020-07-28
94,M6M,CRONUS,MASTIFF / CANE CORSO,SABLE / BROWN,05,York South-Weston,SEVERE,OWNERS PROPERTY,2020-08-01
95,M6K,ZIGGY,HOUND,BLACK / BROWN,04,Parkdale-High Park,SEVERE,OTHER PRIVATE PROPERTY,2020-08-14
96,M2J,ROCCO,ALASKAN HUSKY,RED / WHITE,17,Don Valley North,SEVERE,PUBLIC PROPERTY,2020-08-31
97,M2J,LUNA,SIBERIAN HUSKY,WHITE / BLACK,17,Don Valley North,SEVERE,PUBLIC PROPERTY,2020-08-31
98,M4K,RABBIT,LABRADOR RETR / AMER BULLDOG,WHITE / TAN,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2020-09-03
99,M1K,MEEKA,AKITA,TAN / WHITE,21,Scarborough Centre,SEVERE,PUBLIC PROPERTY,2020-09-08
100,M4C,COCO,AMER BULLDOG,WHITE / BROWN,19,Beaches-East York,SEVERE,PARK - LEASH REQUIRED AREA,2020-09-13
101,M4J,ROCKY,BELG MALINOIS,BROWN,14,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,2020-09-21
102,M4V,NETWORK,GERM SHEPHERD,BLACK / TAN,12,Toronto-St. Paul's,NON SEVERE,OWNERS PROPERTY,2020-09-23
103,M5A,BODHI,AMER BULLDOG MIX,BROWN / WHITE,13,Toronto Centre,SEVERE,PARK - LEASH FREE AREA,2020-10-20
104,M5A,INDY,ALASKAN HUSKY / GERM SHEPHERD,BLACK / WHITE,13,Toronto Centre,SEVERE,PUBLIC PROPERTY,2020-11-09
105,M4E,SERA,GERM SHEPHERD / AMER BULLDOG,BR BRINDLE / WHITE,19,Beaches-East York,SEVERE,PUBLIC PROPERTY,2020-11-10
106,M1K,ZEUS,MASTIFF / DOGO ARGENTINO,BL BRINDLE / WHITE,20,Scarborough Southwest,SEVERE,OTHER PRIVATE PROPERTY,2020-11-15
107,M2J,MAJOR,AMER BULLDOG / ROTTWEILER,TAN,17,Don Valley North,NON SEVERE,PUBLIC PROPERTY,2020-12-19
108,M1V,LION,GERM SHEPHERD,BLACK / TAN,22,Scarborough-Agincourt,NON SEVERE,PUBLIC PROPERTY,2021-01-24
109,M9R,SASHA,AKITA,WHITE / TAN,01,Etobicoke North,SEVERE,PARK - LEASH REQUIRED AREA,2021-01-26
110,M8Z,SEVEN,CANE CORSO / AMER BULLDOG,FAWN,03,Etobicoke-Lakeshore,SEVERE,PUBLIC PROPERTY,2021-02-11
111,M3H,DASH,GERM SHEPHERD MIX,BLACK / BROWN,06,York Centre,NON SEVERE,PUBLIC PROPERTY,2021-02-21
112,M9A,ZEUS,AMER BULLDOG MIX,BLACK / WHITE,02,Etobicoke Centre,NON SEVERE,OTHER PRIVATE PROPERTY,2021-03-05
113,M9B,KAI,MASTIFF,RED,02,Etobicoke Centre,NON SEVERE,OTHER PRIVATE PROPERTY,2021-03-18
114,M4J,XENA,AMER BULLDOG,BLACK,14,Toronto-Danforth,SEVERE,OTHER PRIVATE PROPERTY,2021-04-08
115,M4J,LULU,AMER BULLDOG,BROWN / WHITE,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2021-05-04
116,M6N,ZATAR,DOGO ARGENTINO,WHITE,05,York South-Weston,NON SEVERE,OTHER PRIVATE PROPERTY,2021-05-09
117,M6N,HABIBA,DOGO ARGENTINO,WHITE,05,York South-Weston,NON SEVERE,OTHER PRIVATE PROPERTY,2021-05-09
118,M3A,PEPPER,BOXER,BR BRINDLE / WHITE,16,Don Valley East,NOT A BITE,PUBLIC PROPERTY,2021-05-11
119,M6A,GREYDEE,COCKER SPAN,BLUE TICK,08,Eglinton-Lawrence,NOT A BITE,OTHER PRIVATE PROPERTY,2021-05-17
120,M3C,KUSH,BULLDOG MIX,BLACK / WHITE,16,Don Valley East,NON SEVERE,OWNERS PROPERTY,2021-06-02
121,M9R,JACK,BULLDOG,BLACK / WHITE,02,Etobicoke Centre,NON SEVERE,OTHER PRIVATE PROPERTY,2021-06-05
122,M1M,REX,GERM SHEPHERD,BLACK / TAN,20,Scarborough Southwest,SEVERE,OTHER PRIVATE PROPERTY,2021-06-09
123,M1R,LOVE,GREAT DANE,BROWN / WHITE,21,Scarborough Centre,NON SEVERE,OTHER PRIVATE PROPERTY,2021-06-19
124,M5R,BRADY,CANE CORSO,ORANGE / BL BRINDLE,11,University-Rosedale,SEVERE,OTHER PRIVATE PROPERTY,2021-06-21
125,M3B,SHADOW,GERM SHEPHERD,BLACK / YELLOW,16,Don Valley East,NON SEVERE,PUBLIC PROPERTY,2021-06-27
126,M3H,JACKSON,LABRADOR RETR MIX,BLACK / WHITE,06,York Centre,SEVERE,OWNERS PROPERTY,2021-07-11
127,M1L,ROMEO,BULL TERRIER,BLACK / WHITE,20,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,2021-08-04
128,M1J,NAHLA,BOXER / CANE CORSO,BROWN / WHITE,21,Scarborough Centre,SEVERE,PARK - LEASH REQUIRED AREA,2021-08-22
129,M1V,TEDDY,CHOW CHOW,RED,23,Scarborough North,SEVERE,PUBLIC PROPERTY,2021-08-31
130,M1V,BLUE,CHOW CHOW,RED,23,Scarborough North,SEVERE,PUBLIC PROPERTY,2021-08-31
131,M1L,KODA,BELG MALINOIS,BROWN / BLACK,20,Scarborough Southwest,SEVERE,OTHER PRIVATE PROPERTY,2021-09-09
132,M4J,KLONDIKE,GREYHOUND,BUFF,14,Toronto-Danforth,SEVERE,OWNERS PROPERTY,2021-09-18
133,M3K,KHAN,BOXER / MASTIFF,BR BRINDLE,06,York Centre,NON SEVERE,PARK - LEASH REQUIRED AREA,2021-09-20
134,M6H,MYLES,AMERICAN STAFF / AMER BULLDOG,YELLOW,09,Davenport,SEVERE,OTHER PRIVATE PROPERTY,2021-09-24
135,M9C,MAGNUS,ROTTWEILER / GERM SHEPHERD,BLACK / TAN,02,Etobicoke Centre,NOT A BITE,OTHER PRIVATE PROPERTY,2021-10-06
136,M1B,PRINCE,BOXER,BROWN,23,Scarborough North,SEVERE,PUBLIC PROPERTY,2021-10-07
137,M1N,ZEUS,BULLMASTIFF MIX,BR BRINDLE,20,Scarborough Southwest,NON SEVERE,PUBLIC PROPERTY,2021-10-07
138,M6G,RUSTY,BORDER COLLIE / MASTIFF,BLACK / WHITE,11,University-Rosedale,SEVERE,OTHER PRIVATE PROPERTY,2021-10-11
139,M4E,SHEWY,DOGO ARGENTINO,WHITE,19,Beaches-East York,SEVERE,OTHER PRIVATE PROPERTY,2021-10-27
140,M9A,RYE,CHOW CHOW / LABRADOR RETR,YELLOW,02,Etobicoke Centre,NON SEVERE,PUBLIC PROPERTY,2021-11-13
141,M4Y,STALLION,AKITA,CREAM / WHITE,11,University-Rosedale,SEVERE,OTHER PRIVATE PROPERTY,2021-12-02
142,M6B,NA,MASTIFF,BLACK,08,Eglinton-Lawrence,VERY SEVERE,PUBLIC PROPERTY,2021-12-21
143,M6B,RICO,MASTIFF,BLACK / WHITE,08,Eglinton-Lawrence,SEVERE,PUBLIC PROPERTY,2021-12-21
144,M1S,ZEUS,DOGO ARGENTINO,WHITE,22,Scarborough-Agincourt,SEVERE,OTHER PRIVATE PROPERTY,2022-01-12
145,M2N,JOEY,GERM SHEPHERD,TAN / BLACK,18,Willowdale,NON SEVERE,PUBLIC PROPERTY,2022-01-13
146,M4L,MAYA,LABRADOR RETR / BOSTON TERRIER,BLACK / WHITE,14,Toronto-Danforth,SEVERE,PARK - LEASH REQUIRED AREA,2022-01-19
147,M4A,GRIFFIN,ROTTWEILER / LABRADOR RETR,BR BRINDLE / BLACK,16,Don Valley East,NON SEVERE,PARK - LEASH FREE AREA,2022-01-26
148,M9R,VENOM,BELG MALINOIS,BROWN / BLACK,02,Etobicoke Centre,SEVERE,OTHER PRIVATE PROPERTY,2022-02-02
149,M9M,BONES,BORDER COLLIE / LABRADOR RETR,BLACK / WHITE,07,Humber River-Black Creek,NON SEVERE,PUBLIC PROPERTY,2022-02-10
150,M4C,HUNDO,GERM SHEPHERD / LABRADOR RETR,BLACK / BROWN,19,Beaches-East York,NOT A BITE,OTHER PRIVATE PROPERTY,2022-02-20
151,M5J,TATSU,AKITA,WHITE / BLACK,10,Spadina-Fort York,NON SEVERE,PUBLIC PROPERTY,2022-03-15
152,M3J,MILO,AMER BULLDOG,BR BRINDLE / WHITE,07,Humber River-Black Creek,NON SEVERE,PUBLIC PROPERTY,2022-03-18
153,M2K,SHADOW,AUST SHEPHERD,TRICOLOUR / BLACK,18,Willowdale,SEVERE,PUBLIC PROPERTY,2022-03-20
154,M4W,ODIN,SIBERIAN HUSKY,GREY / WHITE,11,University-Rosedale,NON SEVERE,PUBLIC PROPERTY,2022-04-23
155,M4T,BROCCOLI,CAROLINA DOG MIX,TAN,12,Toronto-St. Paul's,SEVERE,OTHER PRIVATE PROPERTY,2022-04-25
156,M6A,RAIDEN,DOGO ARGENTINO / AMER BULLDOG,WHITE,08,Eglinton-Lawrence,VERY SEVERE,PUBLIC PROPERTY,2022-05-09
157,M4J,KING,ROTTWEILER,BLACK / BROWN,14,Toronto-Danforth,SEVERE,PARK - LEASH FREE AREA,2022-05-11
158,M4J,BLICKY,AMER BULLDOG,GREY / WHITE,14,Toronto-Danforth,NON SEVERE,PARK - LEASH FREE AREA,2022-05-13
159,M6R,MAIA,ROTTWEILER / LABRADOR RETR,BLACK / TAN,04,Parkdale-High Park,SEVERE,PUBLIC PROPERTY,2022-05-14
160,M2J,PABLO,OLD ENG BULLDOG,BLUE,17,Don Valley North,SEVERE,OTHER PRIVATE PROPERTY,2022-05-17
161,M4V,BEATRIX,WEIMARANER,GREY,12,Toronto-St. Paul's,SEVERE,PUBLIC PROPERTY,2022-05-20
162,M5R,MOOSE,BOSTON TERRIER,BROWN / WHITE,12,Toronto-St. Paul's,SEVERE,PUBLIC PROPERTY,2022-05-27
163,M2J,BIG BOY,CANE CORSO,BR BRINDLE / GREY,17,Don Valley North,SEVERE,PUBLIC PROPERTY,2022-06-06
164,M4J,SHYLA,AMER BULLDOG MIX,BROWN,14,Toronto-Danforth,SEVERE,OTHER PRIVATE PROPERTY,2022-06-09
165,M9N,PATRON,CANE CORSO MIX,GREY,05,York South-Weston,SEVERE,OWNERS PROPERTY,2022-06-12
166,M9N,REINA,AMER BULLDOG MIX,GREY,05,York South-Weston,SEVERE,OWNERS PROPERTY,2022-06-12
167,M6K,KEIKO,WHIPPET / VIZSLA,BROWN,10,Spadina-Fort York,SEVERE,PUBLIC PROPERTY,2022-06-14
168,M1L,MOLLY,LABRADOR RETR,YELLOW,20,Scarborough Southwest,SEVERE,PUBLIC PROPERTY,2022-06-15
169,M4P,KATO,CHOW CHOW / SIBERIAN HUSKY,TAN,15,Don Valley West,NOT A BITE,OTHER PRIVATE PROPERTY,2022-06-22
170,M1N,MAKEUP,BULLMASTIFF / AM PIT BULL TER,BROWN / WHITE,20,Scarborough Southwest,NON SEVERE,PARK - LEASH FREE AREA,2022-06-24
171,M1C,ANUBIS,SIBERIAN HUSKY / AKITA,GREY / BLACK,25,Scarborough-Rouge Park,SEVERE,PARK - LEASH REQUIRED AREA,2022-06-30
172,M5A,BEAR,SIBERIAN HUSKY / GERM SHEPHERD,GREY / BLACK,13,Toronto Centre,SEVERE,OTHER PRIVATE PROPERTY,2022-07-01
173,M4G,CASSIE,GOLDEN RETR,GOLD,15,Don Valley West,SEVERE,PARK - LEASH REQUIRED AREA,2022-07-02
174,M6B,DIGGY,ROTTWEILER / MASTIFF,RED,08,Eglinton-Lawrence,SEVERE,PUBLIC PROPERTY,2022-07-03
175,M2J,KALI,AMER BULLDOG,BROWN / WHITE,17,Don Valley North,SEVERE,PUBLIC PROPERTY,2022-07-06
176,M4L,LUNA,ROTTWEILER,BLACK / TAN,14,Toronto-Danforth,NON SEVERE,PUBLIC PROPERTY,2022-07-09
177,M2M,BLUE,BULLMASTIFF,BROWN,18,Willowdale,SEVERE,OWNERS PROPERTY,2022-07-09
178,M4M,FIN,GERM SHEPHERD,BLACK,14,Toronto-Danforth,SEVERE,OWNERS PROPERTY,2022-07-14
179,M5R,CAROL,SIBERIAN HUSKY,BLACK / WHITE,12,Toronto-St. Paul's,SEVERE,PUBLIC PROPERTY,2022-07-14
180,M4L,BELLA,SHIH TZU,BLACK,14,Toronto-Danforth,NON SEVERE,OTHER PRIVATE PROPERTY,2022-07-20
181,M4B,REMY,ROTTWEILER,BLACK / TAN,19,Beaches-East York,SEVERE,OTHER PRIVATE PROPERTY,2022-07-20
182,M4C,SAPHIRE,AMER BULLDOG,TAN / WHITE,19,Beaches-East York,SEVERE,PUBLIC PROPERTY,2022-07-25
183,M6C,KAIBO,PORT WATER DOG,BLACK / WHITE,12,Toronto-St. Paul's,NON SEVERE,OTHER PRIVATE PROPERTY,2022-07-26
184,M2J,SKY,BORDER COLLIE / LABRADOR RETR,RED / WHITE,17,Don Valley North,NON SEVERE,PUBLIC PROPERTY,2022-07-26
185,M4X,ROLO,ENG BULLDOG / BOXER,TAN / WHITE,13,Toronto Centre,NON SEVERE,OTHER PRIVATE PROPERTY,2022-07-28
186,M4L,KEELOW,BULLMASTIFF,BR BRINDLE / WHITE,14,Toronto-Danforth,SEVERE,PUBLIC PROPERTY,2022-07-28
187,M3J,TACO,SIBERIAN HUSKY,BROWN / WHITE,06,York Centre,SEVERE,PUBLIC PROPERTY,2022-07-31
188,M2P,CHARLOTTE,GERM SHEPHERD MIX,BLACK,15,Don Valley West,NON SEVERE,PUBLIC PROPERTY,2022-08-04
189,M1B,MERCY,MASTIFF MIX,BLACK / BROWN,25,Scarborough-Rouge Park,SEVERE,PUBLIC PROPERTY,2022-08-12
190,L9C,BRUNA,RUSSIAN TERRIER,BLACK,04,Parkdale-High Park,NON SEVERE,OTHER PRIVATE PROPERTY,2022-08-15
191,M4X,BLUE,AMER BULLDOG / BOXER,GREY / WHITE,13,Toronto Centre,SEVERE,PARK - LEASH FREE AREA,2022-08-22
